CustomerID,ProductID,RegionID,PurchaseDate,StockDate,CostPrice,PurchasePrice,QuantityPurchased
2,2,2,02/01/1990,02/01/1990,1.6314,1.8208,2
3,3,3,03/01/1990,03/01/1990,2.0071,2.01,3
4,4,4,04/01/1990,04/01/1990,3.6068,3.9102,5
5,5,5,05/01/1990,05/01/1990,4.5532,4.5532,5
6,6,6,06/01/1990,06/01/1990,5.6314,5.5532,1
7,7,7,07/01/1990,07/01/1990,6.0071,6.5532,2
8,8,8,08/01/1990,08/01/1990,7.6068,7.5532,4
9,9,1,09/01/1990,09/01/1990,8.5532,8.5532,4
10,10,2,10/01/1990,10/01/1990,9.6314,9.5532,5
11,11,3,11/01/1990,11/01/1990,10.0071,10.5532,1
12,12,4,12/01/1990,12/01/1990,11.6068,11.5532,3
13,1,5,13/01/1990,13/01/1990,0.5532,0.6638,1
14,2,6,14/01/1990,14/01/1990,1.6314,1.8208,2
15,3,7,15/01/1990,15/01/1990,2.0071,2.01,3
1,4,8,16/01/1990,16/01/1990,3.6068,3.9102,5
2,5,1,17/01/1990,17/01/1990,4.5532,4.5532,5
3,6,2,18/01/1990,18/01/1990,5.6314,5.5532,1
4,7,3,19/01/1990,19/01/1990,6.0071,6.5532,2
5,8,4,20/01/1990,20/01/1990,7.6068,7.5532,4
6,9,5,21/01/1990,21/01/1990,8.5532,8.5532,4
7,10,6,22/01/1990,22/01/1990,9.6314,9.5532,5
8,11,7,23/01/1990,23/01/1990,10.0071,10.5532,1
9,12,8,24/01/1990,24/01/1990,11.6068,11.5532,3
10,1,1,25/01/1990,25/01/1990,0.5532,0.6638,1
11,2,2,26/01/1990,26/01/1990,1.6314,1.8208,2
12,3,3,27/01/1990,27/01/1990,2.0071,2.01,3
13,4,4,28/01/1990,28/01/1990,3.6068,3.9102,5
14,5,5,29/01/1990,29/01/1990,4.5532,4.5532,5
15,6,6,30/01/1990,30/01/1990,5.6314,5.5532,1
1,7,7,31/01/1990,31/01/1990,6.0071,6.5532,2
2,8,8,01/02/1990,01/02/1990,7.6068,7.5532,4
3,9,1,02/02/1990,02/02/1990,8.5532,8.5532,4
4,10,2,03/02/1990,03/02/1990,9.6314,9.5532,5
5,11,3,04/02/1990,04/02/1990,10.0071,10.5532,1
6,12,4,05/02/1990,05/02/1990,11.6068,11.5532,3
7,1,5,06/02/1990,06/02/1990,0.5532,0.6638,1
8,2,6,07/02/1990,07/02/1990,1.6314,1.8208,2
9,3,7,08/02/1990,08/02/1990,2.0071,2.01,3
10,4,8,09/02/1990,09/02/1990,3.6068,3.9102,5
11,5,1,10/02/1990,10/02/1990,4.5532,4.5532,5
12,6,2,11/02/1990,11/02/1990,5.6314,5.5532,1
13,7,3,12/02/1990,12/02/1990,6.0071,6.5532,2
14,8,4,13/02/1990,13/02/1990,7.6068,7.5532,4
15,9,5,14/02/1990,14/02/1990,8.5532,8.5532,4
1,10,6,15/02/1990,15/02/1990,9.6314,9.5532,5
2,11,7,16/02/1990,16/02/1990,10.0071,10.5532,1
3,12,8,17/02/1990,17/02/1990,11.6068,11.5532,3
4,1,1,18/02/1990,18/02/1990,0.5532,0.6638,1
5,2,2,19/02/1990,19/02/1990,1.6314,1.8208,2
6,3,3,20/02/1990,20/02/1990,2.0071,2.01,3
7,4,4,21/02/1990,21/02/1990,3.6068,3.9102,5
8,5,5,22/02/1990,22/02/1990,4.5532,4.5532,5
9,6,6,23/02/1990,23/02/1990,5.6314,5.5532,1
10,7,7,24/02/1990,24/02/1990,6.0071,6.5532,2
11,8,8,25/02/1990,25/02/1990,7.6068,7.5532,4
12,9,1,26/02/1990,26/02/1990,8.5532,8.5532,4
13,10,2,27/02/1990,27/02/1990,9.6314,9.5532,5
14,11,3,28/02/1990,28/02/1990,10.0071,10.5532,1
15,12,4,01/03/1990,01/03/1990,11.6068,11.5532,3
1,1,5,02/03/1990,02/03/1990,0.5532,0.6638,1
2,2,6,03/03/1990,03/03/1990,1.6314,1.8208,2
3,3,7,04/03/1990,04/03/1990,2.0071,2.01,3
4,4,8,05/03/1990,05/03/1990,3.6068,3.9102,5
5,5,1,06/03/1990,06/03/1990,4.5532,4.5532,5
6,6,2,07/03/1990,07/03/1990,5.6314,5.5532,1
7,7,3,08/03/1990,08/03/1990,6.0071,6.5532,2
8,8,4,09/03/1990,09/03/1990,7.6068,7.5532,4
9,9,5,10/03/1990,10/03/1990,8.5532,8.5532,4
10,10,6,11/03/1990,11/03/1990,9.6314,9.5532,5
11,11,7,12/03/1990,12/03/1990,10.0071,10.5532,1
12,12,8,13/03/1990,13/03/1990,11.6068,11.5532,3
13,1,1,14/03/1990,14/03/1990,0.5532,0.6638,1
14,2,2,15/03/1990,15/03/1990,1.6314,1.8208,2
15,3,3,16/03/1990,16/03/1990,2.0071,2.01,3
1,4,4,17/03/1990,17/03/1990,3.6068,3.9102,5
2,5,5,18/03/1990,18/03/1990,4.5532,4.5532,5
3,6,6,19/03/1990,19/03/1990,5.6314,5.5532,1
4,7,7,20/03/1990,20/03/1990,6.0071,6.5532,2
5,8,8,21/03/1990,21/03/1990,7.6068,7.5532,4
6,9,1,22/03/1990,22/03/1990,8.5532,8.5532,4
7,10,2,23/03/1990,23/03/1990,9.6314,9.5532,5
8,11,3,24/03/1990,24/03/1990,10.0071,10.5532,1
9,12,4,25/03/1990,01/01/1990,11.6068,11.5532,3
10,1,5,26/03/1990,02/01/1990,0.5532,0.6638,1
11,2,6,27/03/1990,03/01/1990,1.6314,1.8208,2
12,3,7,28/03/1990,04/01/1990,2.0071,2.01,3
13,4,8,29/03/1990,05/01/1990,3.6068,3.9102,5
14,5,1,30/03/1990,06/01/1990,4.5532,4.5532,5
15,6,2,31/03/1990,07/01/1990,5.6314,5.5532,1
1,7,3,01/04/1990,08/01/1990,6.0071,6.5532,2
2,8,4,02/04/1990,09/01/1990,7.6068,7.5532,4
3,9,5,03/04/1990,10/01/1990,8.5532,8.5532,4
4,10,6,04/04/1990,11/01/1990,9.6314,9.5532,5
5,11,7,05/04/1990,12/01/1990,10.0071,10.5532,1
6,12,8,06/04/1990,13/01/1990,11.6068,11.5532,3
7,1,1,07/04/1990,14/01/1990,0.5532,0.6638,1
8,2,2,08/04/1990,15/01/1990,1.6314,1.8208,2
9,3,3,09/04/1990,16/01/1990,2.0071,2.01,3
10,4,4,10/04/1990,17/01/1990,3.6068,3.9102,5
11,5,5,11/04/1990,18/01/1990,4.5532,4.5532,5
12,6,6,12/04/1990,19/01/1990,5.6314,5.5532,1
13,7,7,13/04/1990,20/01/1990,6.0071,6.5532,2
14,8,8,14/04/1990,21/01/1990,7.6068,7.5532,4
15,9,1,15/04/1990,22/01/1990,8.5532,8.5532,4
1,10,2,16/04/1990,23/01/1990,9.6314,9.5532,5
2,11,3,17/04/1990,24/01/1990,10.0071,10.5532,1
3,12,4,18/04/1990,25/01/1990,11.6068,11.5532,3
4,1,5,19/04/1990,26/01/1990,0.5532,0.6638,1
5,2,6,20/04/1990,27/01/1990,1.6314,1.8208,2
6,3,7,21/04/1990,28/01/1990,2.0071,2.01,3
7,4,8,22/04/1990,29/01/1990,3.6068,3.9102,5
8,5,1,23/04/1990,30/01/1990,4.5532,4.5532,5
9,6,2,24/04/1990,31/01/1990,5.6314,5.5532,1
10,7,3,25/04/1990,01/02/1990,6.0071,6.5532,2
11,8,4,26/04/1990,02/02/1990,7.6068,7.5532,4
12,9,5,27/04/1990,03/02/1990,8.5532,8.5532,4
13,10,6,28/04/1990,04/02/1990,9.6314,9.5532,5
14,11,7,29/04/1990,05/02/1990,10.0071,10.5532,1
15,12,8,30/04/1990,06/02/1990,11.6068,11.5532,3
1,1,1,01/05/1990,07/02/1990,0.5532,0.6638,1
2,2,2,02/05/1990,08/02/1990,1.6314,1.8208,2
3,3,3,03/05/1990,09/02/1990,2.0071,2.01,3
4,4,4,04/05/1990,10/02/1990,3.6068,3.9102,5
5,5,5,05/05/1990,11/02/1990,4.5532,4.5532,5
6,6,6,06/05/1990,12/02/1990,5.6314,5.5532,1
7,7,7,07/05/1990,13/02/1990,6.0071,6.5532,2
8,8,8,08/05/1990,14/02/1990,7.6068,7.5532,4
9,9,1,09/05/1990,15/02/1990,8.5532,8.5532,4
10,10,2,10/05/1990,16/02/1990,9.6314,9.5532,5
11,11,3,11/05/1990,17/02/1990,10.0071,10.5532,1
12,12,4,12/05/1990,18/02/1990,11.6068,11.5532,3
13,1,5,13/05/1990,19/02/1990,0.5532,0.6638,1
14,2,6,14/05/1990,20/02/1990,1.6314,1.8208,2
15,3,7,15/05/1990,21/02/1990,2.0071,2.01,3
1,4,8,16/05/1990,22/02/1990,3.6068,3.9102,5
2,5,1,17/05/1990,23/02/1990,4.5532,4.5532,5
3,6,2,18/05/1990,24/02/1990,5.6314,5.5532,1
4,7,3,19/05/1990,25/02/1990,6.0071,6.5532,2
5,8,4,20/05/1990,26/02/1990,7.6068,7.5532,4
6,9,5,21/05/1990,27/02/1990,8.5532,8.5532,4
7,10,6,22/05/1990,28/02/1990,9.6314,9.5532,5
8,11,7,23/05/1990,01/03/1990,10.0071,10.5532,1
9,12,8,24/05/1990,02/03/1990,11.6068,11.5532,3
10,1,1,25/05/1990,03/03/1990,0.5532,0.6638,1
11,2,2,26/05/1990,04/03/1990,1.6314,1.8208,2
12,3,3,27/05/1990,05/03/1990,2.0071,2.01,3
13,4,4,28/05/1990,06/03/1990,3.6068,3.9102,5
14,5,5,29/05/1990,07/03/1990,4.5532,4.5532,5
15,6,6,30/05/1990,08/03/1990,5.6314,5.5532,1
1,7,7,31/05/1990,09/03/1990,6.0071,6.5532,2
2,8,8,01/06/1990,10/03/1990,7.6068,7.5532,4
3,9,1,02/06/1990,11/03/1990,8.5532,8.5532,4
4,10,2,03/06/1990,12/03/1990,9.6314,9.5532,5
5,11,3,04/06/1990,13/03/1990,10.0071,10.5532,1
6,12,4,05/06/1990,14/03/1990,11.6068,11.5532,3
7,1,5,06/06/1990,15/03/1990,0.5532,0.6638,1
8,2,6,07/06/1990,16/03/1990,1.6314,1.8208,2
9,3,7,08/06/1990,17/03/1990,2.0071,2.01,3
10,4,8,09/06/1990,18/03/1990,3.6068,3.9102,5
11,5,1,10/06/1990,19/03/1990,4.5532,4.5532,5
12,6,2,11/06/1990,20/03/1990,5.6314,5.5532,1
13,7,3,12/06/1990,21/03/1990,6.0071,6.5532,2
14,8,4,13/06/1990,22/03/1990,7.6068,7.5532,4
15,9,5,14/06/1990,23/03/1990,8.5532,8.5532,4
1,10,6,15/06/1990,24/03/1990,9.6314,9.5532,5
2,11,7,16/06/1990,01/01/1990,10.0071,10.5532,1
3,12,8,17/06/1990,02/01/1990,11.6068,11.5532,3
4,1,1,18/06/1990,03/01/1990,0.5532,0.6638,1
5,2,2,19/06/1990,04/01/1990,1.6314,1.8208,2
6,3,3,20/06/1990,05/01/1990,2.0071,2.01,3
7,4,4,21/06/1990,06/01/1990,3.6068,3.9102,5
8,5,5,22/06/1990,07/01/1990,4.5532,4.5532,5
9,6,6,23/06/1990,08/01/1990,5.6314,5.5532,1
10,7,7,24/06/1990,09/01/1990,6.0071,6.5532,2
11,8,8,25/06/1990,10/01/1990,7.6068,7.5532,4
12,9,1,26/06/1990,11/01/1990,8.5532,8.5532,4
13,10,2,27/06/1990,12/01/1990,9.6314,9.5532,5
14,11,3,28/06/1990,13/01/1990,10.0071,10.5532,1
15,12,4,29/06/1990,14/01/1990,11.6068,11.5532,3
1,1,5,30/06/1990,15/01/1990,0.5532,0.6638,1
2,2,6,01/07/1990,16/01/1990,1.6314,1.8208,2
3,3,7,02/07/1990,17/01/1990,2.0071,2.01,3
4,4,8,03/07/1990,18/01/1990,3.6068,3.9102,5
5,5,1,04/07/1990,19/01/1990,4.5532,4.5532,5
6,6,2,05/07/1990,20/01/1990,5.6314,5.5532,1
7,7,3,06/07/1990,21/01/1990,6.0071,6.5532,2
8,8,4,07/07/1990,22/01/1990,7.6068,7.5532,4
9,9,5,08/07/1990,23/01/1990,8.5532,8.5532,4
10,10,6,09/07/1990,24/01/1990,9.6314,9.5532,5
11,11,7,10/07/1990,25/01/1990,10.0071,10.5532,1
12,12,8,11/07/1990,26/01/1990,11.6068,11.5532,3
13,1,1,12/07/1990,27/01/1990,0.5532,0.6638,1
14,2,2,13/07/1990,28/01/1990,1.6314,1.8208,2
15,3,3,14/07/1990,29/01/1990,2.0071,2.01,3
1,4,4,15/07/1990,30/01/1990,3.6068,3.9102,5
2,5,5,16/07/1990,31/01/1990,4.5532,4.5532,5
3,6,6,17/07/1990,01/02/1990,5.6314,5.5532,1
4,7,7,18/07/1990,02/02/1990,6.0071,6.5532,2
5,8,8,19/07/1990,03/02/1990,7.6068,7.5532,4
6,9,1,20/07/1990,04/02/1990,8.5532,8.5532,4
7,10,2,21/07/1990,05/02/1990,9.6314,9.5532,5
8,11,3,22/07/1990,06/02/1990,10.0071,10.5532,1
9,12,4,23/07/1990,07/02/1990,11.6068,11.5532,3
10,1,5,24/07/1990,08/02/1990,0.5532,0.6638,1
11,2,6,25/07/1990,09/02/1990,1.6314,1.8208,2
12,3,7,26/07/1990,10/02/1990,2.0071,2.01,3
13,4,8,27/07/1990,11/02/1990,3.6068,3.9102,5
14,5,1,28/07/1990,12/02/1990,4.5532,4.5532,5
15,6,2,29/07/1990,13/02/1990,5.6314,5.5532,1
1,7,3,30/07/1990,14/02/1990,6.0071,6.5532,2
2,8,4,31/07/1990,15/02/1990,7.6068,7.5532,4
3,9,5,01/08/1990,16/02/1990,8.5532,8.5532,4
4,10,6,02/08/1990,17/02/1990,9.6314,9.5532,5
5,11,7,03/08/1990,18/02/1990,10.0071,10.5532,1
6,12,8,04/08/1990,19/02/1990,11.6068,11.5532,3
7,1,1,05/08/1990,20/02/1990,0.5532,0.6638,1
8,2,2,06/08/1990,21/02/1990,1.6314,1.8208,2
9,3,3,07/08/1990,22/02/1990,2.0071,2.01,3
10,4,4,08/08/1990,23/02/1990,3.6068,3.9102,5
11,5,5,09/08/1990,24/02/1990,4.5532,4.5532,5
12,6,6,10/08/1990,25/02/1990,5.6314,5.5532,1
13,7,7,11/08/1990,26/02/1990,6.0071,6.5532,2
14,8,8,12/08/1990,27/02/1990,7.6068,7.5532,4
15,9,1,13/08/1990,28/02/1990,8.5532,8.5532,4
1,10,2,14/08/1990,01/03/1990,9.6314,9.5532,5
2,11,3,15/08/1990,02/03/1990,10.0071,10.5532,1
3,12,4,16/08/1990,03/03/1990,11.6068,11.5532,3
4,1,5,17/08/1990,04/03/1990,0.5532,0.6638,1
5,2,6,18/08/1990,05/03/1990,1.6314,1.8208,2
6,3,7,19/08/1990,06/03/1990,2.0071,2.01,3
7,4,8,20/08/1990,07/03/1990,3.6068,3.9102,5
8,5,1,21/08/1990,08/03/1990,4.5532,4.5532,5
9,6,2,22/08/1990,09/03/1990,5.6314,5.5532,1
10,7,3,23/08/1990,10/03/1990,6.0071,6.5532,2
11,8,4,24/08/1990,11/03/1990,7.6068,7.5532,4
12,9,5,25/08/1990,12/03/1990,8.5532,8.5532,4
13,10,6,26/08/1990,13/03/1990,9.6314,9.5532,5
14,11,7,27/08/1990,14/03/1990,10.0071,10.5532,1
15,12,8,28/08/1990,15/03/1990,11.6068,11.5532,3
1,1,1,29/08/1990,16/03/1990,0.5532,0.6638,1
2,2,2,30/08/1990,17/03/1990,1.6314,1.8208,2
3,3,3,31/08/1990,18/03/1990,2.0071,2.01,3
4,4,4,01/09/1990,19/03/1990,3.6068,3.9102,5
5,5,5,02/09/1990,20/03/1990,4.5532,4.5532,5
6,6,6,03/09/1990,21/03/1990,5.6314,5.5532,1
7,7,7,04/09/1990,22/03/1990,6.0071,6.5532,2
8,8,8,05/09/1990,23/03/1990,7.6068,7.5532,4
9,9,1,06/09/1990,24/03/1990,8.5532,8.5532,4
10,10,2,07/09/1990,01/01/1990,9.6314,9.5532,5
11,11,3,08/09/1990,02/01/1990,10.0071,10.5532,1
12,12,4,09/09/1990,03/01/1990,11.6068,11.5532,3
13,1,5,10/09/1990,04/01/1990,0.5532,0.6638,1
14,2,6,11/09/1990,05/01/1990,1.6314,1.8208,2
15,3,7,12/09/1990,06/01/1990,2.0071,2.01,3
1,4,8,13/09/1990,07/01/1990,3.6068,3.9102,5
2,5,1,14/09/1990,08/01/1990,4.5532,4.5532,5
3,6,2,15/09/1990,09/01/1990,5.6314,5.5532,1
4,7,3,16/09/1990,10/01/1990,6.0071,6.5532,2
5,8,4,17/09/1990,11/01/1990,7.6068,7.5532,4
6,9,5,18/09/1990,12/01/1990,8.5532,8.5532,4
7,10,6,19/09/1990,13/01/1990,9.6314,9.5532,5
8,11,7,20/09/1990,14/01/1990,10.0071,10.5532,1
9,12,8,21/09/1990,15/01/1990,11.6068,11.5532,3
10,1,1,22/09/1990,16/01/1990,0.5532,0.6638,1
11,2,2,23/09/1990,17/01/1990,1.6314,1.8208,2
12,3,3,24/09/1990,18/01/1990,2.0071,2.01,3
13,4,4,25/09/1990,19/01/1990,3.6068,3.9102,5
14,5,5,26/09/1990,20/01/1990,4.5532,4.5532,5
15,6,6,27/09/1990,21/01/1990,5.6314,5.5532,1
1,7,7,28/09/1990,22/01/1990,6.0071,6.5532,2
2,8,8,29/09/1990,23/01/1990,7.6068,7.5532,4
3,9,1,30/09/1990,24/01/1990,8.5532,8.5532,4
4,10,2,01/10/1990,25/01/1990,9.6314,9.5532,5
5,11,3,02/10/1990,26/01/1990,10.0071,10.5532,1
6,12,4,03/10/1990,27/01/1990,11.6068,11.5532,3
7,1,5,04/10/1990,28/01/1990,0.5532,0.6638,1
8,2,6,05/10/1990,29/01/1990,1.6314,1.8208,2
9,3,7,06/10/1990,30/01/1990,2.0071,2.01,3
10,4,8,07/10/1990,31/01/1990,3.6068,3.9102,5
11,5,1,08/10/1990,01/02/1990,4.5532,4.5532,5
12,6,2,09/10/1990,02/02/1990,5.6314,5.5532,1
13,7,3,10/10/1990,03/02/1990,6.0071,6.5532,2
14,8,4,11/10/1990,04/02/1990,7.6068,7.5532,4
15,9,5,12/10/1990,05/02/1990,8.5532,8.5532,4
1,10,6,13/10/1990,06/02/1990,9.6314,9.5532,5
2,11,7,14/10/1990,07/02/1990,10.0071,10.5532,1
3,12,8,15/10/1990,08/02/1990,11.6068,11.5532,3
4,1,1,16/10/1990,09/02/1990,0.5532,0.6638,1
5,2,2,17/10/1990,10/02/1990,1.6314,1.8208,2
6,3,3,18/10/1990,11/02/1990,2.0071,2.01,3
7,4,4,19/10/1990,12/02/1990,3.6068,3.9102,5
8,5,5,20/10/1990,13/02/1990,4.5532,4.5532,5
9,6,6,21/10/1990,14/02/1990,5.6314,5.5532,1
10,7,7,22/10/1990,15/02/1990,6.0071,6.5532,2
11,8,8,23/10/1990,16/02/1990,7.6068,7.5532,4
12,9,1,24/10/1990,17/02/1990,8.5532,8.5532,4
13,10,2,25/10/1990,18/02/1990,9.6314,9.5532,5
14,11,3,26/10/1990,19/02/1990,10.0071,10.5532,1
15,12,4,27/10/1990,20/02/1990,11.6068,11.5532,3
1,1,5,28/10/1990,21/02/1990,0.5532,0.6638,1
2,2,6,29/10/1990,22/02/1990,1.6314,1.8208,2
3,3,7,30/10/1990,23/02/1990,2.0071,2.01,3
4,4,8,31/10/1990,24/02/1990,3.6068,3.9102,5
5,5,1,01/11/1990,25/02/1990,4.5532,4.5532,5
6,6,2,02/11/1990,26/02/1990,5.6314,5.5532,1
7,7,3,03/11/1990,27/02/1990,6.0071,6.5532,2
8,8,4,04/11/1990,28/02/1990,7.6068,7.5532,4
9,9,5,05/11/1990,01/03/1990,8.5532,8.5532,4
10,10,6,06/11/1990,02/03/1990,9.6314,9.5532,5
11,11,7,07/11/1990,03/03/1990,10.0071,10.5532,1
12,12,8,08/11/1990,04/03/1990,11.6068,11.5532,3
13,1,1,09/11/1990,05/03/1990,0.5532,0.6638,1
14,2,2,10/11/1990,06/03/1990,1.6314,1.8208,2
15,3,3,11/11/1990,07/03/1990,2.0071,2.01,3
1,4,4,12/11/1990,08/03/1990,3.6068,3.9102,5
2,5,5,13/11/1990,09/03/1990,4.5532,4.5532,5
3,6,6,14/11/1990,10/03/1990,5.6314,5.5532,1
4,7,7,15/11/1990,11/03/1990,6.0071,6.5532,2
5,8,8,16/11/1990,12/03/1990,7.6068,7.5532,4
6,9,1,17/11/1990,13/03/1990,8.5532,8.5532,4
7,10,2,18/11/1990,14/03/1990,9.6314,9.5532,5
8,11,3,19/11/1990,15/03/1990,10.0071,10.5532,1
9,12,4,20/11/1990,16/03/1990,11.6068,11.5532,3
10,1,5,21/11/1990,17/03/1990,0.5532,0.6638,1
11,2,6,22/11/1990,18/03/1990,1.6314,1.8208,2
12,3,7,23/11/1990,19/03/1990,2.0071,2.01,3
13,4,8,24/11/1990,20/03/1990,3.6068,3.9102,5
14,5,1,25/11/1990,21/03/1990,4.5532,4.5532,5
15,6,2,26/11/1990,22/03/1990,5.6314,5.5532,1
1,7,3,27/11/1990,23/03/1990,6.0071,6.5532,2
